mission,launch_date,operator,carrier_rocket,spacecraft,mission_type,outcome,country
Ranger 4(P-35),23-Apr-62,NASA,Ranger 4,Atlas LV-3 Agena-B,Impactor,Spacecraft failure,United States
Ranger 5(P-36),18-Oct-62,NASA,Atlas LV-3 Agena-B,Ranger 5,Impactor,Spacecraft failure,United States
Luna E-6 No.2,4-Jan-63,OKB-1,Molniya-L,Luna E-6 No.2,Lander,Launch failure,Soviet Union
Luna E-6 No.3,3-Feb-63,OKB-1,Molniya-L,Luna E-6 No.3,Lander,Launch failure,Soviet Union
Luna 4(E-6 No.4),2-Apr-63,OKB-1,Molniya-L,Luna 4,Lander,Spacecraft failure,Soviet Union
Ranger 6(P-54),30-Jan-64,NASA,Atlas LV-3 Agena-B,Ranger 6,Impactor,Spacecraft failure,United States
Luna E-6 No.6,21-Mar-64,OKB-1,Molniya-M,Luna E-6 No.6,Lander,Launch failure,Soviet Union
Luna E-6 No.5,20-Apr-64,OKB-1,Molniya-M,Luna E-6 No.5,Lander,Launch failure,Soviet Union
Ranger 7,28-Jul-64,NASA,Atlas LV-3 Agena-B,Ranger 7,Impactor,Success,United States
Ranger 8,17-Feb-65,NASA,Atlas LV-3 Agena-B,Ranger 8,Impactor,Success,United States
Kosmos 60(E-6 No.9),12-Mar-65,Lavochkin,Molniya-L,Kosmos 60,Lander,Launch failure,Soviet Union
Ranger 9,21-Mar-65,NASA,Atlas LV-3 Agena-B,Ranger 9,Impactor,Success,United States
Luna E-6 No.8,10-Apr-65,Lavochkin,Molniya-L,Luna E-6 No.8,Lander,Spacecraft failure,Soviet Union
Luna 5(E-6 No.10),9-May-65,Lavochkin,Molniya-M,Luna 5,Lander,Spacecraft failure,Soviet Union
Luna 6(E-6 No.7),8-Jun-65,Lavochkin,Molniya-M,Luna 6,Lander,Spacecraft failure,Soviet Union
Zond 3(3MV-4 No.3),18-Jul-65,Lavochkin,Molniya,Zond 3,Flyby,Success,Soviet Union
Luna 7(E-6 No.11),4-Oct-65,Lavochkin,Molniya,Luna 7,Lander,Spacecraft failure,Soviet Union
Luna 8(E-6 No.12),3-Dec-65,Lavochkin,Molniya,Luna 8,Lander,Spacecraft failure,Soviet Union
Luna 9(E-6 No.13),31-Jan-66,Lavochkin,Molniya-M,Luna 9,Lander,Success,Soviet Union
Kosmos 111(E-6S No.204),1-Mar-66,Lavochkin,Molniya-M,Kosmos 111,Orbiter,Launch failure,Soviet Union
Luna 10(E-6S No.206),31-Mar-66,Lavochkin,Molniya-M,Luna 10,Orbiter,Success,Soviet Union
Surveyor 1,30-May-66,NASA,Atlas LV-3C Centaur-D,Surveyor 1,Lander,Success,United States
Explorer 33(AIMP-D),1-Jul-66,NASA,Delta E1,Explorer 33,Orbiter,Launch failure,United States
Lunar Orbiter 1,10-Aug-66,NASA,Atlas SLV-3 Agena-D,Lunar Orbiter 1,Orbiter,Partial failure,United States
Luna 11(E-6LF No.101),21-Aug-66,Lavochkin,Molniya-M,Luna 11,Orbiter,Partial failure,Soviet Union
Surveyor 2,20-Sep-66,NASA,Atlas LV-3C Centaur-D,Surveyor 2,Lander,Spacecraft failure,United States
Luna 12(E-6LF No.102),22-Oct-66,Lavochkin,Molniya-M,Luna 12,Orbiter,Success,Soviet Union
Lunar Orbiter 2,6-Nov-66,NASA,Atlas SLV-3 Agena-D,Lunar Orbiter 2,Orbiter,Success,United States
Luna 13(E-6M No.205),21-Dec-66,Lavochkin,Molniya-M,Luna 13,Lander,Success,Soviet Union
Lunar Orbiter 3,5-Feb-67,NASA,Atlas SLV-3 Agena-D,Lunar Orbiter 3,Orbiter,Success,United States
Surveyor 3,17-Apr-67,NASA,Atlas LV-3C Centaur-D,Surveyor 3,Lander,Success,United States
Lunar Orbiter 4,4-May-67,NASA,Atlas SLV-3 Agena-D,Lunar Orbiter 4,Orbiter,Success,United States
Surveyor 4,14-Jul-67,NASA,Atlas LV-3C Centaur-D,Surveyor 4,Lander,Spacecraft failure,United States
Explorer 35(AIMP-E),19-Jul-67,NASA,Delta E1,Explorer 35(AIMP-E),Orbiter,Success,United States
Lunar Orbiter 5,1-Aug-67,NASA,Atlas SLV-3 Agena-D,Lunar Orbiter 5,Orbiter,Success,United States
Surveyor 5,8-Sep-67,NASA,Atlas SLV-3C Centaur-D,Surveyor 5,Lander,Success,United States
Soyuz 7K-L1 No.4L,27-Sep-67,Lavochkin,Proton-K/D,Soyuz 7K-L1 No.4L,Flyby,Spacecraft failure,Soviet Union
Surveyor 6,7-Nov-67,NASA,Atlas SLV-3C Centaur-D,Surveyor 6,Lander,Success,United States
Soyuz 7K-L1 No.5L,22-Nov-67,Lavochkin,Proton-K/D,Soyuz 7K-L1 No.5L,Flyby,Launch failure,Soviet Union
