laua,laua_name,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >=300 Mbit/s (number of lines),Number of connections >=30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines,Full-fibre take-up (% of full-fibre coverage),Full-fibre take-up (% of all premises)
E06000016,LEICESTER,125,173,1000,6.2,19.7,118.9,191.1,568.9,18,17.7,1000,1,3.1,14.8,18.8,39.4,223,596,1841,8374,80110,15308,95418,661,443,178,399,643,723.8383412,1287,9,6
E07000063,LEWES,54.1,90,1000,6.1,20.6,67.2,106.1,576,12,16.4,900,1.2,3.8,14.7,19.3,73.6,96,251,724,5987,29025,2406,31431,468,290,138,332,493,508.8077579,874,20,11
E09000023,LEWISHAM,76.6,145,1000,6.3,18.7,94.6,165.4,632.1,19.6,20.4,1219.49,1,2.9,15.9,22,61.9,221,683,2312,10445,74988,11376,86364,573,414,229,392,592,623.0667853,940,23,12
E07000194,LICHFIELD,79.2,155.7,1000,5.9,19.8,94.8,174.8,638.4,19.9,20.1,1219.49,1,3.5,16.4,22.2,55.8,112,297,731,3849,30999,5348,36347,495,317,130,292,496,548.1429405,947,32,15
E07000138,LINCOLN,79.8,169.8,1000,5.5,20.5,107.8,185.1,581.4,18.9,18,811.07,1,3.7,14.9,19.4,42.4,109,274,576,2268,27127,5295,32422,570,363,131,364,548,603.7974987,1008,9,3
N09000007,LISBURN AND CASTLEREAGH,80,196.6,1000,5.1,19.5,107.9,217.5,642.6,20,25.5,579.76,1,3.1,17.9,27.1,62.6,238,613,914,3817,38712,9976,48688,570,356,130,289,549,638.2220466,1049,39,35
E08000012,LIVERPOOL,80,189.1,1000,6.4,19.4,112.3,211,621.6,20,21.2,940,1,2.7,15.8,22.6,50.7,287,673,2541,16040,123688,29733,153421,629,423,193,390,629,690.8673701,1048,28,16
E06000032,LUTON,125,183,1000,5.4,20.4,116.9,197.2,578.5,20,18.5,1219.49,1,4.4,15.3,19.6,40.4,178,528,901,3709,51679,10886,62565,616,477,169,482,623,639.7204544,748,13,2
E07000110,MAIDSTONE,76.8,152.3,1433.37,5.1,20.2,93.5,173.3,605.4,19.8,24.8,940,0.9,3.3,16.4,27.9,90.3,340,733,1141,6479,47531,8783,56314,546,376,129,357,550,595.0734667,980,28,14
E07000074,MALDON,66.8,128.2,1000,5.5,20.2,77.8,148.4,675,19,28.3,1219.49,1,3.5,17.3,32.3,143.9,104,303,530,3016,19229,2581,21810,527,311,131,309,510,594.0632299,1299,41,29
E07000235,MALVERN HILLS,54.8,97.9,1000,5.1,20.4,72.1,118,687.6,13.2,18.3,1219.49,1,3.8,16.4,22,91.9,221,657,853,4251,22622,1821,24443,432,249,108,278,453,487.9358937,939,32,17
E08000003,MANCHESTER,79.7,161.2,1000,6.1,18.8,102.6,181.6,635.7,20,18.6,1219.49,1,3,15.3,18.9,40,483,1405,4014,16342,135370,23555,158925,666,461,197,429,668,739.3271401,1410,32,16
