medal_type,medal_code,medal_date,name,country_code,gender,discipline,event,event_type
Silver Medal,2,2024-08-01,Apostolos CHRISTOU,GRE,M,Swimming,Men's 200m Backstroke,ATH
Bronze Medal,3,2024-08-01,Roman MITYUKOV,SUI,M,Swimming,Men's 200m Backstroke,ATH
Gold Medal,1,2024-08-01,Kate DOUGLASS,USA,W,Swimming,Women's 200m Breaststroke,ATH
Silver Medal,2,2024-08-01,Tatjana SMITH,RSA,W,Swimming,Women's 200m Breaststroke,ATH
Bronze Medal,3,2024-08-01,Tes SCHOUTEN,NED,W,Swimming,Women's 200m Breaststroke,ATH
Gold Medal,1,2024-08-01,Summer McINTOSH,CAN,W,Swimming,Women's 200m Butterfly,ATH
Silver Medal,2,2024-08-01,Regan SMITH,USA,W,Swimming,Women's 200m Butterfly,ATH
Bronze Medal,3,2024-08-01,ZHANG Yufei,CHN,W,Swimming,Women's 200m Butterfly,ATH
Gold Medal,1,2024-08-01,Australia,AUS,W,Swimming,Women's 4 x 200m Freestyle Relay,TEAM
Silver Medal,2,2024-08-01,United States,USA,W,Swimming,Women's 4 x 200m Freestyle Relay,TEAM
Bronze Medal,3,2024-08-01,China,CHN,W,Swimming,Women's 4 x 200m Freestyle Relay,TEAM
Gold Medal,1,2024-08-02,Korea,KOR,X,Archery,Mixed Team,HTEAM
Silver Medal,2,2024-08-02,Germany,GER,X,Archery,Mixed Team,HTEAM
Bronze Medal,3,2024-08-02,United States,USA,X,Archery,Mixed Team,HTEAM
Gold Medal,1,2024-08-02,Joshua CHEPTEGEI,UGA,M,Athletics,"Men's 10,000m",ATH
Silver Medal,2,2024-08-02,Berihu AREGAWI,ETH,M,Athletics,"Men's 10,000m",ATH
Bronze Medal,3,2024-08-02,Grant FISHER,USA,M,Athletics,"Men's 10,000m",ATH
Gold Medal,1,2024-08-02,ZHENG/HUANG,CHN,X,Badminton,Mixed Doubles,HCOUP
Silver Medal,2,2024-08-02,KIM/JEONG,KOR,X,Badminton,Mixed Doubles,HCOUP
Bronze Medal,3,2024-08-02,WATANABE/HIGASHINO,JPN,X,Badminton,Mixed Doubles,HCOUP
Gold Medal,1,2024-08-02,Joris DAUDET,FRA,M,Cycling BMX Racing,Men,ATH
Silver Medal,2,2024-08-02,Sylvain ANDRE,FRA,M,Cycling BMX Racing,Men,ATH
Bronze Medal,3,2024-08-02,Romain MAHIEU,FRA,M,Cycling BMX Racing,Men,ATH
Gold Medal,1,2024-08-02,Saya SAKAKIBARA,AUS,W,Cycling BMX Racing,Women,ATH
Silver Medal,2,2024-08-02,Manon VEENSTRA,NED,W,Cycling BMX Racing,Women,ATH
Bronze Medal,3,2024-08-02,Zoe CLAESSENS,SUI,W,Cycling BMX Racing,Women,ATH
Gold Medal,1,2024-08-02,China,CHN,M,Diving,Men's Synchronised 3m Springboard,TEAM
Silver Medal,2,2024-08-02,Mexico,MEX,M,Diving,Men's Synchronised 3m Springboard,TEAM
Bronze Medal,3,2024-08-02,Great Britain,GBR,M,Diving,Men's Synchronised 3m Springboard,TEAM
Gold Medal,1,2024-08-02,Great Britain,GBR,O,Equestrian,Jumping Team,TEAM
Silver Medal,2,2024-08-02,United States,USA,O,Equestrian,Jumping Team,TEAM
Bronze Medal,3,2024-08-02,France,FRA,O,Equestrian,Jumping Team,TEAM
Gold Medal,1,2024-08-02,Hungary,HUN,M,Fencing,Men's Épée Team,HTEAM
Silver Medal,2,2024-08-02,Japan,JPN,M,Fencing,Men's Épée Team,HTEAM
Bronze Medal,3,2024-08-02,Czechia,CZE,M,Fencing,Men's Épée Team,HTEAM
Gold Medal,1,2024-08-02,Teddy RINER,FRA,M,Judo,Men +100 kg,HATH
Silver Medal,2,2024-08-02,KIM Minjong,KOR,M,Judo,Men +100 kg,HATH
Bronze Medal,3,2024-08-02,Temur RAKHIMOV,TJK,M,Judo,Men +100 kg,HATH
Bronze Medal,3,2024-08-02,Alisher YUSUPOV,UZB,M,Judo,Men +100 kg,HATH
Gold Medal,1,2024-08-02,Beatriz SOUZA,BRA,W,Judo,Women +78 kg,HATH
Silver Medal,2,2024-08-02,Raz HERSHKO,ISR,W,Judo,Women +78 kg,HATH
Bronze Medal,3,2024-08-02,KIM Hayun,KOR,W,Judo,Women +78 kg,HATH
Bronze Medal,3,2024-08-02,Romane DICKO,FRA,W,Judo,Women +78 kg,HATH
Gold Medal,1,2024-08-02,Ireland,IRL,M,Rowing,Lightweight Men's Double Sculls,TEAM
Silver Medal,2,2024-08-02,Italy,ITA,M,Rowing,Lightweight Men's Double Sculls,TEAM
Bronze Medal,3,2024-08-02,Greece,GRE,M,Rowing,Lightweight Men's Double Sculls,TEAM
Gold Medal,1,2024-08-02,Great Britain,GBR,W,Rowing,Lightweight Women's Double Sculls,TEAM
Silver Medal,2,2024-08-02,Romania,ROU,W,Rowing,Lightweight Women's Double Sculls,TEAM
Bronze Medal,3,2024-08-02,Greece,GRE,W,Rowing,Lightweight Women's Double Sculls,TEAM
Gold Medal,1,2024-08-02,Croatia,CRO,M,Rowing,Men's Pair,TEAM
Silver Medal,2,2024-08-02,Great Britain,GBR,M,Rowing,Men's Pair,TEAM
Bronze Medal,3,2024-08-02,Switzerland,SUI,M,Rowing,Men's Pair,TEAM
Gold Medal,1,2024-08-02,Netherlands,NED,W,Rowing,Women's Pair,TEAM
Silver Medal,2,2024-08-02,Romania,ROU,W,Rowing,Women's Pair,TEAM
Bronze Medal,3,2024-08-02,Australia,AUS,W,Rowing,Women's Pair,TEAM
Gold Medal,1,2024-08-02,BOTIN/TRITTEL,ESP,M,Sailing,Men's Skiff,TEAM
Silver Medal,2,2024-08-02,McHARDIE/McKENZIE,NZL,M,Sailing,Men's Skiff,TEAM
Bronze Medal,3,2024-08-02,BARROWS/HENKEN,USA,M,Sailing,Men's Skiff,TEAM
Gold Medal,1,2024-08-02,AANHOLT/DUETZ,NED,W,Sailing,Women's Skiff,TEAM
Silver Medal,2,2024-08-02,BOBECK/NETZLER,SWE,W,Sailing,Women's Skiff,TEAM
Bronze Medal,3,2024-08-02,STEYAERT/PICON,FRA,W,Sailing,Women's Skiff,TEAM
Gold Medal,1,2024-08-02,Chiara LEONE,SUI,W,Shooting,50m Rifle 3 Positions Women,ATH
Silver Medal,2,2024-08-02,Sagen MADDALENA,USA,W,Shooting,50m Rifle 3 Positions Women,ATH
Bronze Medal,3,2024-08-02,ZHANG Qiongyue,CHN,W,Shooting,50m Rifle 3 Positions Women,ATH
Gold Medal,1,2024-08-02,Leon MARCHAND,FRA,M,Swimming,Men's 200m Individual Medley,ATH
Silver Medal,2,2024-08-02,Duncan SCOTT,GBR,M,Swimming,Men's 200m Individual Medley,ATH
Bronze Medal,3,2024-08-02,WANG Shun,CHN,M,Swimming,Men's 200m Individual Medley,ATH
Gold Medal,1,2024-08-02,Cameron McEVOY,AUS,M,Swimming,Men's 50m Freestyle,ATH
Silver Medal,2,2024-08-02,Benjamin PROUD,GBR,M,Swimming,Men's 50m Freestyle,ATH
Bronze Medal,3,2024-08-02,Florent MANAUDOU,FRA,M,Swimming,Men's 50m Freestyle,ATH
Gold Medal,1,2024-08-02,Kaylee McKEOWN,AUS,W,Swimming,Women's 200m Backstroke,ATH
Silver Medal,2,2024-08-02,Regan SMITH,USA,W,Swimming,Women's 200m Backstroke,ATH
Bronze Medal,3,2024-08-02,Kylie MASSE,CAN,W,Swimming,Women's 200m Backstroke,ATH
Gold Medal,1,2024-08-02,SINIAKOVA/MACHAC,CZE,X,Tennis,Mixed Doubles,HCOUP
Silver Medal,2,2024-08-02,WANG/ZHANG,CHN,X,Tennis,Mixed Doubles,HCOUP
Bronze Medal,3,2024-08-02,DABROWSKI/AUGER-ALIAS,CAN,X,Tennis,Mixed Doubles,HCOUP
Bronze Medal,3,2024-08-02,Iga SWIATEK,POL,W,Tennis,Women's Singles,HATH
Gold Medal,1,2024-08-02,Ivan LITVINOVICH,AIN,M,Trampoline Gymnastics,Men,ATH
Silver Medal,2,2024-08-02,WANG Zisai,CHN,M,Trampoline Gymnastics,Men,ATH
Bronze Medal,3,2024-08-02,YAN Langyu,CHN,M,Trampoline Gymnastics,Men,ATH
Gold Medal,1,2024-08-02,Bryony PAGE,GBR,W,Trampoline Gymnastics,Women,ATH
Silver Medal,2,2024-08-02,Viyaleta BARDZILOUSKAYA,AIN,W,Trampoline Gymnastics,Women,ATH
Bronze Medal,3,2024-08-02,Sophiane METHOT,CAN,W,Trampoline Gymnastics,Women,ATH
Gold Medal,1,2024-08-03,LIM Sihyeon,KOR,W,Archery,Women's Individual,HATH
Silver Medal,2,2024-08-03,NAM Suhyeon,KOR,W,Archery,Women's Individual,HATH
Bronze Medal,3,2024-08-03,Lisa BARBELIN,FRA,W,Archery,Women's Individual,HATH
Gold Medal,1,2024-08-03,Carlos Edriel YULO,PHI,M,Artistic Gymnastics,Men's Floor Exercise,ATH
Silver Medal,2,2024-08-03,Artem DOLGOPYAT,ISR,M,Artistic Gymnastics,Men's Floor Exercise,ATH
Bronze Medal,3,2024-08-03,Jake JARMAN,GBR,M,Artistic Gymnastics,Men's Floor Exercise,ATH
Gold Medal,1,2024-08-03,Rhys MC CLENAGHAN,IRL,M,Artistic Gymnastics,Men's Pommel Horse,ATH
Silver Medal,2,2024-08-03,Nariman KURBANOV,KAZ,M,Artistic Gymnastics,Men's Pommel Horse,ATH
Bronze Medal,3,2024-08-03,Stephen NEDOROSCIK,USA,M,Artistic Gymnastics,Men's Pommel Horse,ATH
Gold Medal,1,2024-08-03,Simone BILES,USA,W,Artistic Gymnastics,Women's Vault,ATH
Silver Medal,2,2024-08-03,Rebeca ANDRADE,BRA,W,Artistic Gymnastics,Women's Vault,ATH
Bronze Medal,3,2024-08-03,Jade CAREY,USA,W,Artistic Gymnastics,Women's Vault,ATH
Gold Medal,1,2024-08-03,Netherlands,NED,X,Athletics,4 x 400m Relay Mixed,TEAM
Silver Medal,2,2024-08-03,United States,USA,X,Athletics,4 x 400m Relay Mixed,TEAM
Bronze Medal,3,2024-08-03,Great Britain,GBR,X,Athletics,4 x 400m Relay Mixed,TEAM
Gold Medal,1,2024-08-03,Markus ROOTH,NOR,M,Athletics,Men's Decathlon,ATH
Silver Medal,2,2024-08-03,Leo NEUGEBAUER,GER,M,Athletics,Men's Decathlon,ATH
Bronze Medal,3,2024-08-03,Lindon VICTOR,GRN,M,Athletics,Men's Decathlon,ATH
Gold Medal,1,2024-08-03,Ryan CROUSER,USA,M,Athletics,Men's Shot Put,ATH
Silver Medal,2,2024-08-03,Joe KOVACS,USA,M,Athletics,Men's Shot Put,ATH
Bronze Medal,3,2024-08-03,Rajindra CAMPBELL,JAM,M,Athletics,Men's Shot Put,ATH
Gold Medal,1,2024-08-03,Julien ALFRED,LCA,W,Athletics,Women's 100m,ATH
Silver Medal,2,2024-08-03,Sha'carri RICHARDSON,USA,W,Athletics,Women's 100m,ATH
Bronze Medal,3,2024-08-03,Melissa JEFFERSON,USA,W,Athletics,Women's 100m,ATH
Gold Medal,1,2024-08-03,Thea LAFOND,DMA,W,Athletics,Women's Triple Jump,ATH
Silver Medal,2,2024-08-03,Shanieka RICKETTS,JAM,W,Athletics,Women's Triple Jump,ATH
Bronze Medal,3,2024-08-03,Jasmine MOORE,USA,W,Athletics,Women's Triple Jump,ATH
Gold Medal,1,2024-08-03,CHEN/JIA,CHN,W,Badminton,Women's Doubles,HCOUP
Silver Medal,2,2024-08-03,LIU/TAN,CHN,W,Badminton,Women's Doubles,HCOUP
Bronze Medal,3,2024-08-03,MATSUYAMA/SHIDA,JPN,W,Badminton,Women's Doubles,HCOUP
Bronze Medal,3,2024-08-03,WU Shih Yi,TPE,W,Boxing,Women's 60kg,HATH
Bronze Medal,3,2024-08-03,Beatriz Iasmin SOARES FERREIRA,BRA,W,Boxing,Women's 60kg,HATH
Gold Medal,1,2024-08-03,Remco EVENEPOEL,BEL,M,Cycling Road,Men's Road Race,ATH
Silver Medal,2,2024-08-03,Valentin MADOUAS,FRA,M,Cycling Road,Men's Road Race,ATH
Bronze Medal,3,2024-08-03,Christophe LAPORTE,FRA,M,Cycling Road,Men's Road Race,ATH
Gold Medal,1,2024-08-03,Germany,GER,O,Equestrian,Dressage Team,TEAM
Silver Medal,2,2024-08-03,Denmark,DEN,O,Equestrian,Dressage Team,TEAM
Bronze Medal,3,2024-08-03,Great Britain,GBR,O,Equestrian,Dressage Team,TEAM
Gold Medal,1,2024-08-03,Ukraine,UKR,W,Fencing,Women's Sabre Team,HTEAM
Silver Medal,2,2024-08-03,Korea,KOR,W,Fencing,Women's Sabre Team,HTEAM
Bronze Medal,3,2024-08-03,Japan,JPN,W,Fencing,Women's Sabre Team,HTEAM
Gold Medal,1,2024-08-03,France,FRA,X,Judo,Mixed Team,HTEAM
Silver Medal,2,2024-08-03,Japan,JPN,X,Judo,Mixed Team,HTEAM
Bronze Medal,3,2024-08-03,Brazil,BRA,X,Judo,Mixed Team,HTEAM
Bronze Medal,3,2024-08-03,Korea,KOR,X,Judo,Mixed Team,HTEAM
Gold Medal,1,2024-08-03,Great Britain,GBR,M,Rowing,Men's Eight,TEAM
Silver Medal,2,2024-08-03,Netherlands,NED,M,Rowing,Men's Eight,TEAM
Bronze Medal,3,2024-08-03,United States,USA,M,Rowing,Men's Eight,TEAM
Gold Medal,1,2024-08-03,Oliver ZEIDLER,GER,M,Rowing,Men's Single Sculls,ATH
Silver Medal,2,2024-08-03,Yauheni ZALATY,AIN,M,Rowing,Men's Single Sculls,ATH
Bronze Medal,3,2024-08-03,Simon van DORP,NED,M,Rowing,Men's Single Sculls,ATH
Gold Medal,1,2024-08-03,Romania,ROU,W,Rowing,Women's Eight,TEAM
Silver Medal,2,2024-08-03,Canada,CAN,W,Rowing,Women's Eight,TEAM
Bronze Medal,3,2024-08-03,Great Britain,GBR,W,Rowing,Women's Eight,TEAM
Gold Medal,1,2024-08-03,Karolien FLORIJN,NED,W,Rowing,Women's Single Sculls,ATH
Silver Medal,2,2024-08-03,Emma TWIGG,NZL,W,Rowing,Women's Single Sculls,ATH
Bronze Medal,3,2024-08-03,Viktorija SENKUTE,LTU,W,Rowing,Women's Single Sculls,ATH
Gold Medal,1,2024-08-03,Tom REUVENY,ISR,M,Sailing,Men's Windsurfing,ATH
Silver Medal,2,2024-08-03,Grae MORRIS,AUS,M,Sailing,Men's Windsurfing,ATH
Bronze Medal,3,2024-08-03,Luuc van OPZEELAND,NED,M,Sailing,Men's Windsurfing,ATH
Gold Medal,1,2024-08-03,Marta MAGGETTI,ITA,W,Sailing,Women's Windsurfing,ATH
Silver Medal,2,2024-08-03,Sharon KANTOR,ISR,W,Sailing,Women's Windsurfing,ATH
Bronze Medal,3,2024-08-03,Emma WILSON,GBR,W,Sailing,Women's Windsurfing,ATH
Gold Medal,1,2024-08-03,YANG Jiin,KOR,W,Shooting,25m Pistol Women,ATH
Silver Medal,2,2024-08-03,Camille JEDRZEJEWSKI,FRA,W,Shooting,25m Pistol Women,ATH
Bronze Medal,3,2024-08-03,Veronika MAJOR,HUN,W,Shooting,25m Pistol Women,ATH
Gold Medal,1,2024-08-03,Vincent HANCOCK,USA,M,Shooting,Skeet Men,ATH
Silver Medal,2,2024-08-03,Conner Lynn PRINCE,USA,M,Shooting,Skeet Men,ATH
Bronze Medal,3,2024-08-03,LEE Meng Yuan,TPE,M,Shooting,Skeet Men,ATH
Gold Medal,1,2024-08-03,Kristof MILAK,HUN,M,Swimming,Men's 100m Butterfly,ATH
Silver Medal,2,2024-08-03,Josh LIENDO,CAN,M,Swimming,Men's 100m Butterfly,ATH
Bronze Medal,3,2024-08-03,Ilya KHARUN,CAN,M,Swimming,Men's 100m Butterfly,ATH
Gold Medal,1,2024-08-03,United States,USA,X,Swimming,Mixed 4 x 100m Medley Relay,TEAM
Silver Medal,2,2024-08-03,China,CHN,X,Swimming,Mixed 4 x 100m Medley Relay,TEAM
Bronze Medal,3,2024-08-03,Australia,AUS,X,Swimming,Mixed 4 x 100m Medley Relay,TEAM
Gold Medal,1,2024-08-03,Summer McINTOSH,CAN,W,Swimming,Women's 200m Individual Medley,ATH
Silver Medal,2,2024-08-03,Kate DOUGLASS,USA,W,Swimming,Women's 200m Individual Medley,ATH
Bronze Medal,3,2024-08-03,Kaylee McKEOWN,AUS,W,Swimming,Women's 200m Individual Medley,ATH
Gold Medal,1,2024-08-03,Katie LEDECKY,USA,W,Swimming,Women's 800m Freestyle,ATH
Silver Medal,2,2024-08-03,Ariarne TITMUS,AUS,W,Swimming,Women's 800m Freestyle,ATH
Bronze Medal,3,2024-08-03,Paige MADDEN,USA,W,Swimming,Women's 800m Freestyle,ATH
Gold Medal,1,2024-08-03,CHEN Meng,CHN,W,Table Tennis,Women's Singles,HATH
Silver Medal,2,2024-08-03,SUN Yingsha,CHN,W,Table Tennis,Women's Singles,HATH
Bronze Medal,3,2024-08-03,Hina HAYATA,JPN,W,Table Tennis,Women's Singles,HATH
Gold Medal,1,2024-08-03,EBDEN/PEERS,AUS,M,Tennis,Men's Doubles,HCOUP
Silver Medal,2,2024-08-03,KRAJICEK/RAM,USA,M,Tennis,Men's Doubles,HCOUP
Bronze Medal,3,2024-08-03,FRITZ/PAUL,USA,M,Tennis,Men's Doubles,HCOUP
Bronze Medal,3,2024-08-03,Lorenzo MUSETTI,ITA,M,Tennis,Men's Singles,HATH
Gold Medal,1,2024-08-03,ZHENG Qinwen,CHN,W,Tennis,Women's Singles,HATH
Silver Medal,2,2024-08-03,Donna VEKIC,CRO,W,Tennis,Women's Singles,HATH
Gold Medal,1,2024-08-04,KIM Woojin,KOR,M,Archery,Men's Individual,HATH
Silver Medal,2,2024-08-04,Brady ELLISON,USA,M,Archery,Men's Individual,HATH
Bronze Medal,3,2024-08-04,LEE Wooseok,KOR,M,Archery,Men's Individual,HATH
Gold Medal,1,2024-08-04,LIU Yang,CHN,M,Artistic Gymnastics,Men's Rings,ATH
Silver Medal,2,2024-08-04,ZOU Jingyuan,CHN,M,Artistic Gymnastics,Men's Rings,ATH
Bronze Medal,3,2024-08-04,Eleftherios PETROUNIAS,GRE,M,Artistic Gymnastics,Men's Rings,ATH
Gold Medal,1,2024-08-04,Carlos Edriel YULO,PHI,M,Artistic Gymnastics,Men's Vault,ATH
Silver Medal,2,2024-08-04,Artur DAVTYAN,ARM,M,Artistic Gymnastics,Men's Vault,ATH
Bronze Medal,3,2024-08-04,Harry HEPWORTH,GBR,M,Artistic Gymnastics,Men's Vault,ATH
Gold Medal,1,2024-08-04,Kaylia NEMOUR,ALG,W,Artistic Gymnastics,Women's Uneven Bars,ATH
Silver Medal,2,2024-08-04,QIU Qiyuan,CHN,W,Artistic Gymnastics,Women's Uneven Bars,ATH
Bronze Medal,3,2024-08-04,Sunisa LEE,USA,W,Artistic Gymnastics,Women's Uneven Bars,ATH
Gold Medal,1,2024-08-04,Noah LYLES,USA,M,Athletics,Men's 100m,ATH
Silver Medal,2,2024-08-04,Kishane THOMPSON,JAM,M,Athletics,Men's 100m,ATH
Bronze Medal,3,2024-08-04,Fred KERLEY,USA,M,Athletics,Men's 100m,ATH
Gold Medal,1,2024-08-04,Ethan KATZBERG,CAN,M,Athletics,Men's Hammer Throw,ATH
Silver Medal,2,2024-08-04,Bence HALASZ,HUN,M,Athletics,Men's Hammer Throw,ATH
Bronze Medal,3,2024-08-04,Mykhaylo KOKHAN,UKR,M,Athletics,Men's Hammer Throw,ATH
Gold Medal,1,2024-08-04,Yaroslava MAHUCHIKH,UKR,W,Athletics,Women's High Jump,ATH
Silver Medal,2,2024-08-04,Nicola OLYSLAGERS,AUS,W,Athletics,Women's High Jump,ATH
Bronze Medal,3,2024-08-04,Iryna GERASHCHENKO,UKR,W,Athletics,Women's High Jump,ATH
Bronze Medal,3,2024-08-04,Eleanor PATTERSON,AUS,W,Athletics,Women's High Jump,ATH
Gold Medal,1,2024-08-04,LEE/WANG,TPE,M,Badminton,Men's Doubles,HCOUP
Silver Medal,2,2024-08-04,LIANG/WANG,CHN,M,Badminton,Men's Doubles,HCOUP
Bronze Medal,3,2024-08-04,CHIA/SOH,MAS,M,Badminton,Men's Doubles,HCOUP
Bronze Medal,3,2024-08-04,Yunior ALCANTARA REYES,DOM,M,Boxing,Men's 51kg,HATH
Bronze Medal,3,2024-08-04,David de PINA,CPV,M,Boxing,Men's 51kg,HATH
Bronze Medal,3,2024-08-04,Wyatt SANFORD,CAN,M,Boxing,Men's 63.5kg,HATH
Bronze Medal,3,2024-08-04,Lasha GURULI,GEO,M,Boxing,Men's 63.5kg,HATH
Bronze Medal,3,2024-08-04,Cristian Javier PINALES,DOM,M,Boxing,Men's 80kg,HATH
Bronze Medal,3,2024-08-04,Arlen LOPEZ CARDONA,CUB,M,Boxing,Men's 80kg,HATH
Bronze Medal,3,2024-08-04,Enmanuel REYES PLA,ESP,M,Boxing,Men's 92kg,HATH
Bronze Medal,3,2024-08-04,Davlat BOLTAEV,TJK,M,Boxing,Men's 92kg,HATH
Bronze Medal,3,2024-08-04,PANG Cholmi,PRK,W,Boxing,Women's 54kg,HATH
Bronze Medal,3,2024-08-04,IM Aeji,KOR,W,Boxing,Women's 54kg,HATH
Gold Medal,1,2024-08-04,Kristen FAULKNER,USA,W,Cycling Road,Women's Road Race,ATH
Silver Medal,2,2024-08-04,Marianne VOS,NED,W,Cycling Road,Women's Road Race,ATH
Bronze Medal,3,2024-08-04,Lotte KOPECKY,BEL,W,Cycling Road,Women's Road Race,ATH
Gold Medal,1,2024-08-04,Jessica von BREDOW-WERNDL,GER,O,Equestrian,Dressage Individual,ATH
Silver Medal,2,2024-08-04,Isabell WERTH,GER,O,Equestrian,Dressage Individual,ATH
Bronze Medal,3,2024-08-04,Charlotte FRY,GBR,O,Equestrian,Dressage Individual,ATH
Gold Medal,1,2024-08-04,Japan,JPN,M,Fencing,Men's Foil Team,HTEAM
Silver Medal,2,2024-08-04,Italy,ITA,M,Fencing,Men's Foil Team,HTEAM
Bronze Medal,3,2024-08-04,France,FRA,M,Fencing,Men's Foil Team,HTEAM
Gold Medal,1,2024-08-04,Scottie SCHEFFLER,USA,M,Golf,Men's Individual Stroke Play,ATH
Silver Medal,2,2024-08-04,Tommy FLEETWOOD,GBR,M,Golf,Men's Individual Stroke Play,ATH
Bronze Medal,3,2024-08-04,MATSUYAMA Hideki,JPN,M,Golf,Men's Individual Stroke Play,ATH
Gold Medal,1,2024-08-04,Francisca CROVETTO CHADID,CHI,W,Shooting,Skeet Women,ATH
Silver Medal,2,2024-08-04,Amber Jo RUTTER,GBR,W,Shooting,Skeet Women,ATH
Bronze Medal,3,2024-08-04,Austen Jewell SMITH,USA,W,Shooting,Skeet Women,ATH
Gold Medal,1,2024-08-04,Bobby FINKE,USA,M,Swimming,Men's 1500m Freestyle,ATH
Silver Medal,2,2024-08-04,Gregorio PALTRINIERI,ITA,M,Swimming,Men's 1500m Freestyle,ATH
Bronze Medal,3,2024-08-04,Daniel WIFFEN,IRL,M,Swimming,Men's 1500m Freestyle,ATH
Gold Medal,1,2024-08-04,China,CHN,M,Swimming,Men's 4 x 100m Medley Relay,TEAM
Silver Medal,2,2024-08-04,United States,USA,M,Swimming,Men's 4 x 100m Medley Relay,TEAM
Bronze Medal,3,2024-08-04,France,FRA,M,Swimming,Men's 4 x 100m Medley Relay,TEAM
Gold Medal,1,2024-08-04,United States,USA,W,Swimming,Women's 4 x 100m Medley Relay,TEAM
Silver Medal,2,2024-08-04,Australia,AUS,W,Swimming,Women's 4 x 100m Medley Relay,TEAM
Bronze Medal,3,2024-08-04,China,CHN,W,Swimming,Women's 4 x 100m Medley Relay,TEAM
Gold Medal,1,2024-08-04,Sarah SJOESTROEM,SWE,W,Swimming,Women's 50m Freestyle,ATH
Silver Medal,2,2024-08-04,Meg HARRIS,AUS,W,Swimming,Women's 50m Freestyle,ATH
Bronze Medal,3,2024-08-04,ZHANG Yufei,CHN,W,Swimming,Women's 50m Freestyle,ATH
Gold Medal,1,2024-08-04,FAN Zhendong,CHN,M,Table Tennis,Men's Singles,HATH
Silver Medal,2,2024-08-04,Truls MOREGARD,SWE,M,Table Tennis,Men's Singles,HATH
Bronze Medal,3,2024-08-04,Felix LEBRUN,FRA,M,Table Tennis,Men's Singles,HATH
Gold Medal,1,2024-08-04,Novak DJOKOVIC,SRB,M,Tennis,Men's Singles,HATH
Silver Medal,2,2024-08-04,Carlos ALCARAZ,ESP,M,Tennis,Men's Singles,HATH
Gold Medal,1,2024-08-04,ERRANI/PAOLINI,ITA,W,Tennis,Women's Doubles,HCOUP
Silver Medal,2,2024-08-04,ANDREEVA/SHNAIDER,AIN,W,Tennis,Women's Doubles,HCOUP
Bronze Medal,3,2024-08-04,BUCSA/SORRIBES TORMO,ESP,W,Tennis,Women's Doubles,HCOUP
Gold Medal,1,2024-08-05,Netherlands,NED,M,3x3 Basketball,Men,HTEAM
Silver Medal,2,2024-08-05,France,FRA,M,3x3 Basketball,Men,HTEAM
Bronze Medal,3,2024-08-05,Lithuania,LTU,M,3x3 Basketball,Men,HTEAM
Gold Medal,1,2024-08-05,Germany,GER,W,3x3 Basketball,Women,HTEAM
Silver Medal,2,2024-08-05,Spain,ESP,W,3x3 Basketball,Women,HTEAM
Bronze Medal,3,2024-08-05,United States,USA,W,3x3 Basketball,Women,HTEAM
Gold Medal,1,2024-08-05,OKA Shinnosuke,JPN,M,Artistic Gymnastics,Men's Horizontal Bar,ATH
Silver Medal,2,2024-08-05,Angel BARAJAS,COL,M,Artistic Gymnastics,Men's Horizontal Bar,ATH
Bronze Medal,3,2024-08-05,ZHANG Boheng,CHN,M,Artistic Gymnastics,Men's Horizontal Bar,ATH
Bronze Medal,3,2024-08-05,TANG Chia-Hung,TPE,M,Artistic Gymnastics,Men's Horizontal Bar,ATH
Gold Medal,1,2024-08-05,ZOU Jingyuan,CHN,M,Artistic Gymnastics,Men's Parallel Bars,ATH
Silver Medal,2,2024-08-05,Illia KOVTUN,UKR,M,Artistic Gymnastics,Men's Parallel Bars,ATH
Bronze Medal,3,2024-08-05,OKA Shinnosuke,JPN,M,Artistic Gymnastics,Men's Parallel Bars,ATH
Gold Medal,1,2024-08-05,Alice D'AMATO,ITA,W,Artistic Gymnastics,Women's Balance Beam,ATH
Silver Medal,2,2024-08-05,ZHOU Yaqin,CHN,W,Artistic Gymnastics,Women's Balance Beam,ATH
Bronze Medal,3,2024-08-05,Manila ESPOSITO,ITA,W,Artistic Gymnastics,Women's Balance Beam,ATH
Gold Medal,1,2024-08-05,Rebeca ANDRADE,BRA,W,Artistic Gymnastics,Women's Floor Exercise,ATH
Silver Medal,2,2024-08-05,Simone BILES,USA,W,Artistic Gymnastics,Women's Floor Exercise,ATH
Bronze Medal,3,2024-08-05,Jordan CHILES,USA,W,Artistic Gymnastics,Women's Floor Exercise,ATH
Gold Medal,1,2024-08-05,Armand DUPLANTIS,SWE,M,Athletics,Men's Pole Vault,ATH
Silver Medal,2,2024-08-05,Sam KENDRICKS,USA,M,Athletics,Men's Pole Vault,ATH
Bronze Medal,3,2024-08-05,Emmanouil KARALIS,GRE,M,Athletics,Men's Pole Vault,ATH
Gold Medal,1,2024-08-05,Beatrice CHEBET,KEN,W,Athletics,Women's 5000m,ATH
Silver Medal,2,2024-08-05,Faith KIPYEGON,KEN,W,Athletics,Women's 5000m,ATH
Bronze Medal,3,2024-08-05,Sifan HASSAN,NED,W,Athletics,Women's 5000m,ATH
Gold Medal,1,2024-08-05,Keely HODGKINSON,GBR,W,Athletics,Women's 800m,ATH
Silver Medal,2,2024-08-05,Tsige DUGUMA,ETH,W,Athletics,Women's 800m,ATH
Bronze Medal,3,2024-08-05,Mary MORAA,KEN,W,Athletics,Women's 800m,ATH
